TR:mock:CellLine,TR:GLU,TR:LPS,DA:IL6_Tes,DA:TNFa_Tes,DA:IL1b_Li,DA:ROS_DS,DA:eNOS_Nak,DA: NO_Kas,DA: VEGFa_Li,DA:ROSec_YangYu,DA:IL6_Tes_error,DA:TNFa_Tes_error,DA:IL1b_Li_error,DA:ROS_DS_error,DA:eNOS_Nak_error,DA: NO_Kas_error,DA: VEGFa_Li_error,DA:ROSec_YangYu_error,DV:IL6_Tes,DV:TNFa_Tes,DV:IL1b_Li,DV:ROS_DS,DV:eNOS_Nak,DV:NO_Kas,DV: VEGFa_Li,DV:ROSec_YangYu,DV:IL6_Tes_error,DV:TNFa_Tes_error,DV:IL1b_Li_error,DV:ROS_DS_error,DV:eNOS_Nak_error,DV:NO_Kas_error,DV: VEGFa_Li_error,DV:ROSec_YangYu
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79338843,6.25,5.714285714,100.2932,0.967741935,2.831632653,0.8,0.9967,24.79338843,6.25,7.272727,100.2932,0.967741935,2.831632653,0.8,1.176079734
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79338843,6.25,5.714285714,100.2932,0.967741935,2.831632653,0.8,0.9967,24.79338843,6.25,7.272727,100.2932,0.967741935,2.831632653,0.8,1.176079734
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79338843,6.25,5.714285714,100.2932,0.967741935,NA,0.8,30.103,24.79338843,6.25,7.272727,100.2932,0.967741935,NA,0.8,31.95
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79338843,6.25,5.714285714,100.2932,0.967741935,NA,0.8,0.9967,24.79338843,6.25,7.272727,100.2932,0.967741935,NA,0.8,1.176079734
1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,2.790816327,NA,NA,NA,NA,NA,NA,NA,2.790816327,NA,NA
1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,2.744897959,NA,NA,NA,NA,NA,NA,NA,2.744897959,NA,NA
1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24.79338843,6.25,NA,NA,NA,2.780612245,NA,NA,24.79338843,6.25,NA,NA,NA,2.780612245,NA,NA
1,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,41.32231405,6.25,NA,NA,NA,2.678571429,NA,NA,41.32231405,6.25,NA,NA,NA,2.678571429,NA,NA
1,0,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,851.2396694,437.5,NA,NA,NA,NA,NA,NA,851.2396694,437.5,NA,NA,NA,NA,NA,NA
1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,421.4876033,525,NA,NA,NA,NA,NA,NA,421.4876033,525,NA,NA,NA,NA,NA,NA
1,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,2.683673469,NA,0.9967,NA,NA,NA,NA,NA,2.683673469,NA,1.176079734
1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,2.418367347,NA,1.0066,NA,NA,NA,NA,NA,2.418367347,NA,1.046511628
1,0,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,0.9967,NA,NA,NA,NA,NA,NA,NA,1.046511628
1,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,41.32231405,NA,NA,0.967741935,2.408163265,NA,1.0465,25,41.32231405,NA,NA,0.967741935,2.408163265,NA,1.275747508
1,1,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,108.3333333,132.231405,NA,NA,0.748387097,2.081632653,NA,1.4651,108.3333333,132.231405,NA,NA,0.8512,2.081632653,NA,1.724252492
1,0,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,808.3333333,826.446281,NA,NA,4.774193548,NA,NA,NA,808.3333333,826.446281,NA,NA,5.7021,NA,NA,NA
1,1,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,975,1247.933884,NA,NA,2.464516129,NA,NA,1.9435,975,1247.933884,NA,NA,3.106,NA,NA,2.541528239
1,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,NA,41.18852459,100.2932,NA,NA,0.8,0.8771,NA,NA,44.89051095,100.2932,NA,NA,0.8,0.936877076
1,1,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,NA,62.09016393,126.0997,NA,NA,0.3818,1.1661,NA,NA,64.59854015,132.71,NA,NA,0.3818,1.475083056
1,0,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,NA,125.4098361,142.52199,NA,NA,1.118,51.75,NA,NA,129.1970803,148.38,NA,NA,1.118,57.11
1,1,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,NA,134.6311475,123.1672,NA,NA,1.245,1.1561,NA,NA,139.05,125.8,NA,NA,1.245,1.355481728
